Skill;Material;Attribute
blizzard;Ice, Snow, Magic, Crystal;Cold, Freezing, Storm
cannonbaguka;Metal, Gunpowder, Iron, Smoke;Heavy, Explosive, Fire, Cylinder
cosmos;Star, Light, Galaxy, Energy;Space, Mysterious, Violet, Infinite
crossthesticks;Soul, Dark_Energy, Star, Galaxy;Space, Cosmic, Violet
darkimpaile;Dark_Matter, Spear, Metal, Phantom;Evil, Pierce, Sharp, Violet
darkspear;Shadow, Spear, Void, Energy;Throwing, Pierce, Dark, Sharp
deadlycharge;Metal, Light, Armo;Dash, Holy, Impact, Valiant
demonimpact;Demon, Obsidian, Rock, Magma;Crushing, Dark, Explosive, Purple
endlesspain;Curse, Blood, Chains, Venom;Agony, Eternal, Dark, Torment
fallingjustice;Light, Hammer, Gold, Energy;Holy, Judgement, Vertical, Righteous
foreverstervingbeast;Flesh, Teeth, Void, Abyss;Hunger, Ravenous, Beastly, Red
fourseason;Shuriken, Wind, Metal;Cyclic, Ninja, Fast
gambit;Train, Magic, Cube;Tricky, Gambling, Modern
genesis;Light, Holy_Ray, Dragon_Scale, Heaven;Divine, Ultimate, Destruction, Bright
gumgobong;Gold, Iron, Wood, Magic;Giant, Blunt, Heavy, Oriental
karmapury;Blade, Steel, Shadow, Blood;Dual, Rapid, Chaos, Sharp
laststanding;Iron, Shield, Rock, Willpower;Swing, Sturdy, Unbreakable, Solo
legendaryspear;Magic, Leaf, Elf_Steel, Wind;Royal, Pink, Aerial, Piercing
limitbreak;Time, Glass, Dimension, Clock;Chrono, Freeze, Burst, Transcendent
lineinfentry;Metal, Robot, Plastic, Oil;Military, Stationary, Shooting, Army
longrangetrueshoot;Arrow, Lens, Steel, Wind;Precise, Sniper, Distant, Focusing
loyalguard;Light, Shield, Gold, Aura;Guard, Counter, Holy, Reflective
metalarmor;Steel, Alloy, Circuit, Engine;Robotic, Heavy, Pilot, Sci-Fi
mothership;Spaceship, Metal, Beam, Fuel;Massive, Sci-Fi, Aerial, Command
needlebat;Wood, Nail, Iron, Leather;Blunt, Spiky, Painful, Crude
nightmare;Mist, Shadow, Moon, Dream;Sleep, Purple, Illusory, Ghostly
nova;Cube, Plastic, Telekinesis;Explosive, White, Black, Burst
pachopung;Fan, Wind, Paper, Leaf;Gale, Green, Knockback, Oriental
persilrade;Bullet, Gunpowder, Tentacle, Water;Ocean, Rapid, Shooting, Pirate
poisonregion;Gas, Slime, Poison, Bubble;Toxic, Green, Hazard, Area
primalrore;Soundwave, Pink_Light, Heart, Soul;Dragon, Cute, Loud, Sonic
purgerop;Steel, Beam, Aircraft;Robotic, Blue, Razor, Sci-Fi
robotlauncherRM7;Metal, Missile, Fire, Smoke;Homing, Explosive, Robotic, Tech
ruin;Magic_Sword, Ether, Light, Crystal;Destruction, Massive, Vertical, Royal
smight;Hammer, Thunder, Light, Gold;Binding, Crushing, Holy, Shock
soulpanetrition;Soul, Light, Sword, Star;Piercing, Aerial, Binding, Celestial
superfistinrage;Dragon, Fist, Energy, Muscle;Punch, Fast, Blue, Physical
swordillustion;Sword, Hologram, Dragon_Soul, Fire;Copy, Fast, Warrior
takedown;Wood, Nail, Iron, Chain;Blunt, Spiky, Painful, Crude
thunderbreak;Lightning, Water, Electricity, Shark;Chain, Blue, Shocking, Storm
thunderpower;Spark, Plasma, Anchor, Light;Electric, Blue,  Lightening, Bright
thunderspear;Lightning, Spear, Plasma, Magic;Electric, Piercing, Stun, Blue
ultimateblast;Energy, Beam, Heat, Violet;Ultimate, Straight, Heavy, Impact
ultimatesniping;Metal, Scope, Arrow, Light;Critical, One-Shot, Precise, Deadly
uncountablearrow;Arrow, Feather, Wind, Light;Rapid, Flurry, Red, Sharp
wildvalcan;Gatling_Gun, Beast_Fur, Metal, Bullet;Rapid, Wild, Jaguar, Hunting
windofpray;Wind, Feather, Leaf, Light;Green, Healing, Soft, Nature
cataclysm;Meteor, Rock, Fire, Sky;Falling, Massive, Destruction, Apocalyptic
combodefault;Blade, Light, Slash, Energy;Cutting, Swift, Diagonal, Splitting
